id,string
0,"ɐɾe he͡ɪ̯dɐ bɐd̪ d̪ɪn, ɟe͡ɪ̯ poɾɪmɐne kɔt̪od̪ɪn bʱɐɾsɪtɪ t̪ʰɐkt̪e e͡ɪ̯ ɐɟke ɛktɐ ɪpʰot̪ɐɾ pɐɾtɪ, kɐlkɐ ɛktɐ ɪpʰot̪ɐɾ pɐɾtɪ, edɐ kensel koɾle ɐɾo d̪u͡ɪ̯dɐ t̪ʰɐʲe, ɛkd̪ɪn d̪u͡ɪ̯ t̪ɪndɐ pʰɐlɐe̯ d̪ee̯, kɔt̪odɪ mɪʃ d̪ɪʲɐ d̪ɪʲɐ ɟɐ͡ɪ̯t̪ɐno lɐge।"
1,"t̪ɐd̪eɾ kɪbʱɐbe pɐblɪke cɐns pɐ͡o̯ʷɐt̪ɪ hɔe̯, kɪbʱɐbe no͡u̯bɐhɪnɪt̪ɪ cɐns pɐ͡o̯ʷɐt̪ɪ hɔe̯ , kɪbʱɐbe ɟelɐ ɪskulɪ poɾɪkkʰɐ d̪e͡o̯ʷɐt̪e hɔe̯ e ʃɔmost̪o ɟɪnɪʃ ɐmɪ bʱɐlo ɟɐnɪ।ɐmɪ nɪɟe d̪ɐʲɪt̪t̪o nebo kono ʃɔmoʃʃɐ nɐ͡ɪ̯।"
2,"ɐmɐɾ mɐʲe ɐmɐɾe mɐd̪ɾɐʃɐe̯ d̪ɪʲɐ ɐ͡ɪ̯t̪e ɟɐ͡ɪ̯t̪eʃe, pʰɔɾkɐd̪ bʱɐ͡ɪ̯ʲe, pʰɔɾkɐd̪ bʱɐ͡ɪ̯ ɐ͡ɪ̯ʃe d̪u͡ɪ̯ nɐmbɐɾ ʃɪdo gɪʲɐ mɪʃukeɾ nɪcʰe ɪlɐɾ bond̪ʱuɾɐ ɪlɐ <> bɐ͡ɪ̯ɾe gɪʲɐ bo͡ɪ̯ʃe ɐɾ e͡ɪ̯ ɐddɐ d̪ɪt̪ɐʃe ɪlɐ kɔe̯, ""ɐ bond̪ʱu!""।"
3,"lɐʃ t̪ulɪ d̪ɪcɪ, ed̪eɾ ɐt̪t̪ɪʲo-ʃɔɟonok utʰɐe̯ d̪ɪcɪ, d̪ɪʲɐ ɛkbɐɾe ɟʱut̪-ɟʱɐmelɐ colɪ ge͡ɪ̯cʰe t̪ɐɾpɔɾe ʃɪhɐb, ɟɐʲed̪ eɾɐ ɐbɐɾ bɪd̪ɐe̯ d̪ɪlɐm, ed̪eɾo kɐɟ ɐce, bɪd̪ɐe̯ d̪ɪlɐm, d̪ɪʲɐ okʰɐne cʰɪlɐm ɐmɪ, ɾuhul bʱɐ͡ɪ̯।"
4,"nɐ͡ɪ̯m t̪u͡ɪ̯n ɐbɐɾ ɾɐg ɔ͡ɪ̯ʃ nɐ bʱɐ͡ɪ̯, ɐmɐɾ ɐmɐɾ ɐmɐɾ kɔt̪ʰɐ t̪u͡ɪ̯n, ɐ͡ɪ̯ccʰɐ t̪ɔɾ bɐd̪d̪e, t̪u͡ɪ̯n nɪɟe͡ɪ̯, ɐmɐɾ kun bond̪ʱudɐ ɐmɐɾe ɛktɐ ʃɐpoɾt koɾcʰe bɪdɪ͡o̯ɾ mɔd̪d̪e bɐ ɪʲɐɾ mɔd̪d̪e, t̪u͡ɪ̯n pɔmɐn d̪ehɐ͡ɪ̯t̪ɐɾbe?"
5,"pɔɾe ɐmɪ bolcʰɪ e͡ɪ̯ɟe  ponoɾo <> ɟeɾɪn bolcʰe, ʃolɔɾ mod̪d̪ʱe ɐmɪ bolcʰɪ ɐmɪ ponɾo, pɔɾe ɐmɐɾe ɪnbokʃo͡e̯ bolcʰe ɟe sɛɾeɾ ʃɐt̪ʰe kɔt̪ʰɐ , pɔɾe sɛɾ ɪ ɐmɐɾe kɔl d̪ɪcʰe ɐɾ t̪umɐd̪eɾ ɟɪggeʃ koɾcʰe kɐɾon।"
6,"t̪ɐɾ mɐmɐ t̪ɐɾ mɐmɐɾe ʃɔbɐ͡ɪ̯ bʱɐlobɐʃe, e͡ɪ̯ buɽot̪t̪e ʃuɾu o͡ɪ̯ɾe guɽo ʃɔbɐ͡ɪ̯ bʱɐlobɐʃe।t̪oɾe ɐged̪d̪ɪn t̪oɾe ɐged̪d̪ɪn kɐnt̪ɐɾe nɪʲe ɟɐt̪ɪ d̪ɛkʰcʰe ɐmɐge ɾɐhul ,ɟɐ͡ɪ̯ʲe t̪ɐ͡ɪ̯ ɐmɐɾe bolt̪ecʰe।"
7,"cʰobɪt̪o t̪omɐɾ kɐloke t̪umɪ ɟɐ͡ɪ̯t̪e͡ɪ̯gɐ, ɐɾ t̪umɐd̪eɾ kellɐ͡ɪ̯ggɐ dɐkcʰe ɐmɪ ko͡ɪ̯ ʃuno, e͡ɪ̯ne ɐmɐɾe͡o̯ dɐkcʰɪlo, e͡ɪ̯ɟe d̪eho  nupuɾ ɐpu ɐmɐɾe bolcʰɪlo pʰɐɾste, ko͡ɪ̯nɐ, he͡ɪ̯ɟe he͡ɪ̯ɟe।"
8,"bɛnɐɾ lɐge d̪ɪclɐm, <> ɟod̪ɪ͡o̯ ɔɾt̪ʰo cʰɪlo nɐ, t̪ɐɾpɔɾo ɐmɾɐ, t̪ɐɾpɔɾ cʰotkʰɐto ɛktɐ bɛnɐɾ lɐge d̪ɪcono, o͡ɪ̯ ɟe ɐm gɐctɐɾ o͡ɪ̯kʰɐne, t̪ɐɾpɔɾ nɐm lekcʰɪlɐm, ʃɐhɪn, ɾɐkɪb।"
9,"e͡ɪ̯ hu , pʰɐ͡ɪ̯bʱɪ bɪt̪t̪ɪ poɾɪkkʰɐdɐ oɾe d̪ɪʲe d̪ɪʲɐbo, d̪ɪʲɐʲe t̪oɾ 
 kʰulnɐ ɟelɐ ɪskulɪ bɐ pɐblɪkɪ bɐ no͡u̯bɐhɪnɪ t̪ɪ ɟekono ɛktɐe̯ mɐne oɾe ʃɔbkɔʲdɐe̯ oɾe ɪ d̪ɪʲɐbo।"
