id,string
0,elɐ ʃɔbɐe̯ ʃɔbɐɾ hɐt̪t̪o ʃɔbɐhe mɐnuʃ ɐce
1,ke͡u̯ kɐɾo ɪjɐ nɐ͡ɪ̯
2,lɐ o͡ɪ̯ ɟe ko͡ɪ̯lkɐ bɛtɐe̯ ɪpt̪ɐɾɪ ɐnce khɐ͡ɪ̯ccoŋ ɪpt̪ɐɾɪ ɛte phɪɾɪʃot̪o t̪hu͡ɪ̯ccoŋ ɐ͡ɪ̯ɟkɐ elɐ khɐ͡ɪ̯m
3,ɐɾ mu͡ɪ̯ ɐgot̪ kɪ koɾcɪnu
4,ɐgeɾ kɔt̪ɐ bɐd̪ d̪e͡o̯ elɐ nɐ͡ɪ̯
5,ɐgeɾ d̪ɪn bɦulɪ ɟɐ͡o̯
6,ɐget̪ kenon ɪkkɐ ɐchɪlo ɐget̪o ɟɔmon hɐt̪o tɛkɐ ɐchɪlo kemon nɐɽɐcɐɽɐ koɾceno ɐge t̪omɐɾ elɐ ɐce
7,ɐge t̪omɐɾ ɟɪnɪʃt̪ɪɾ d̪ɐmɔ͡o̯ kɔm ɐchɪlo
8,ɛk mone koɾo tɛkɐɐ͡ɐ̯lɐ ɟɐɾɪnok ʃɐɾɪnɪɾ mɐjok phɪɾoɟeɾ bo͡u̯jok o͡ɪ̯ phɪɾoɟeɾ betɪ phɪɾoɟe
9,ɐɾ ɐge tehɐ ɐlɐ ɐʃɪn khɐl kɐe̯
10,ɟɐe̯ bɐɽɐɾ nɪjɐ hɐɽt̪o geʃɪl ɐɾ ɐchɪl
11,d̪u͡ɪ̯tɐ tehɐ t̪ɐɾɪ ɐʃɪl
12,ɐllɐhɾ kɐche hɐɟɐɾ ʃumɔɾ moɾ kono ɟɪnɪʃeɾ thɪkɐ nɐ͡ɪ̯
13,bɔ͡u̯ nɐjɐe̯
14,t̪omɐɾ kɪʃeɾ e͡ɪ̯ thɪkɐ t̪omɐɾ
15,ɐllɐh ɐllɐh ɟẽ ɟɪmɪn nɐ͡ɪ̯ hɐt̪ pɐjeɾ ɐd̪ɦoɾ d̪ɪjɐ e͡ɪ̯ ʃumɪɾ cɐɽɐe̯ e͡ɪ̯ ʃumɪɾ kɐcche
16,lɐkho ʃukɐɾɪ
17,e͡ɪ̯ bɐɽeɾ ɟɔnt̪e ʃɔɾhɔe̯ honu hɔe̯ bɐbɐ
18,kɐ͡ɪ̯jo kɪchu d̪ɪle nɐ hɔe̯
19,e͡ɪ̯ ɛkhonɐ ɛkhonɐ kɐ͡ɪ̯ kɪ d̪ɪbe
20,o͡ɪ̯llɐ nohe kɔt̪ɐ
21,kɐɾo
22,o͡ɪ̯ɟe ʃɔmɔlphɔl d̪ɪʃeɾ mɐlɪk ɐllɐh ɟɐɾ ʃɔmɔl ɟemon t̪ɐk phɔl t̪et̪on d̪ebe
23,t̪ɛmon d̪ebe
24,phɔʃukt̪o bole d̪ɪʃe bole ko͡ɪ̯lkɐ bole
25,kɪ d̪ɪʃe
26,ɐ̃ʃɐntɐ bole lɐl ho͡ɪ̯ʃe
